排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,新靶点实验参考化合物名称,结合排名_每药384靶点,当前实验建议,需先确认的事项,评价理由,原冻结药物名称,名称与实物核验说明,原适应症,目标适应症假设,跨原适应症大类,药物完整InChIKey,旧靶点ChEMBL编号,旧作用机制,新靶点基因,新靶点ChEMBL编号,参考化合物ChEMBL编号,参考化合物端点类型,参考化合物证据层级,参考化合物实验编号,参考化合物文献编号,已知药物作用类型,已知药物查询口径,参考化合物说明,阳性近邻Tanimoto,可用阳性近邻_ge04,TxGNN疾病排名,OT疾病关联分,pair_id
11,P1 前10排名且仍可探索,C384-094,solifenacin,Muscarinic acetylcholine receptor M2; Muscarinic acetylcholine receptor M3,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,2,仍可探索,确认纯药与含锌CA7，结合及酶抑制一致后另审眼部用途。,solifenacin–CA7的眼病治疗方向未定，但纯酶结合探索可先进行，不从抗胆碱用途推疗效。,solifenacin,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,成人OAB尿急、尿频与急迫性失禁；此快照片剂,open-angle glaucoma,True,FBOUYBDGKBSUES-VXKWHMMOSA-N,CHEMBL211; CHEMBL245,Muscarinic acetylcholine receptor M2 antagonist; Muscarinic acetylcholine receptor M3 antagonist,CA7,CHEMBL2326,CHEMBL18,"Ki,Kd",Kd_RECORD_PRESENT,"302350,989827","20823,75385",METHAZOLAMIDE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3582089552238806,False,38.0,0.3695798546847018,FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL2326
12,P1 前10排名且仍可探索,C384-128,macimorelin,Growth hormone secretagogue receptor type 1,ACE — Angiotensin-converting enzyme,BENAZEPRIL HYDROCHLORIDE; CAPTOPRIL; CILAZAPRIL; ENALAPRIL MALEATE; ENALAPRILAT; FOSINOPRIL SODIUM; IMIDAPRIL; LISINOPRIL; MOEXIPRIL HYDROCHLORIDE; PERINDOPRIL ARGININE; PERINDOPRIL ERBUMINE; QUINAPRIL HYDROCHLORIDE; RAMIPRIL; SPIRAPRIL HYDROCHLORIDE; TRANDOLAPRIL,LISINOPRIL ANHYDROUS,2,仍可探索,先核对ACE结构域和廉价酶活结果；仅在有母药直接作用支持时考虑SPR，并单独评价疾病干预方向。,macimorelin–ACE诊断用途和不同肽药列表不证明CAD机制，纯ACE酶活探索仍可成立。,macimorelin,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,成人生长激素缺乏诊断用途,coronary artery disorder,True,UJVDJAPJQWZRFR-DHIUTWEWSA-N,CHEMBL4616,Ghrelin receptor agonist,ACE,CHEMBL1808,CHEMBL1237,"Ki,IC50,Kd",Kd_RECORD_PRESENT,"405414,405415,1720397,2157369,2157370,2667396","31795,106612,121869,137876",BENAZEPRIL HYDROCHLORIDE: INHIBITOR; CAPTOPRIL: INHIBITOR; CILAZAPRIL: INHIBITOR; ENALAPRIL MALEATE: INHIBITOR; ENALAPRILAT: INHIBITOR; FOSINOPRIL SODIUM: INHIBITOR; IMIDAPRIL: INHIBITOR; LISINOPRIL: INHIBITOR; MOEXIPRIL HYDROCHLORIDE: INHIBITOR; PERINDOPRIL ARGININE: INHIBITOR; PERINDOPRIL ERBUMINE: INHIBITOR; QUINAPRIL HYDROCHLORIDE: INHIBITOR; RAMIPRIL: INHIBITOR; SPIRAPRIL HYDROCHLORIDE: INHIBITOR; TRANDOLAPRIL: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3857142857142857,False,7.0,0.6015932611698072,UJVDJAPJQWZRFR-DHIUTWEWSA-N__CHEMBL1808
13,P1 前10排名且仍可探索,C384-157,oxycodone,Mu-type opioid receptor,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,2,仍可探索,先CA7酶学并与morphine比较，避免同骨架多对直接占用梯度容量。,oxycodone–CA7缺独立线索不代表不可结合，可与morphine同条件比较减少重复投入。,oxycodone,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,替代治疗不足、需阿片的重度疼痛；剂型/持续治疗/耐受性限制依原文,open-angle glaucoma,True,BRUQQQPBMZOVGD-XFKAJCMBSA-N,CHEMBL233,Mu opioid receptor agonist,CA7,CHEMBL2326,CHEMBL18,"Ki,Kd",Kd_RECORD_PRESENT,"302350,989827","20823,75385",METHAZOLAMIDE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2807017543859649,False,22.0,0.3695798546847018,BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL2326
14,P1 前10排名且仍可探索,C384-158,methylnaltrexone,Mu-type opioid receptor,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,EVEROLIMUS; PIMECROLIMUS; SIROLIMUS; TACROLIMUS; TEMSIROLIMUS,SIROLIMUS,2,仍可探索,先用FKBP12竞争结合验证，检测实际盐形与非特异吸附，重复效应后再考虑疾病方向。,methylnaltrexone–FKBP1A化学支持薄和原受体机制不同，仅属证据缺口，可探索竞争结合。,methylnaltrexone,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,阿片诱导便秘，含晚期疾病/活动癌痛姑息场景；不治疗癌症本体,peripheral arterial disease,True,JVLBPIPGETUEET-WIXLDOGYSA-O,CHEMBL233,Mu opioid receptor antagonist,FKBP1A,CHEMBL1902,CHEMBL413,"Ki,Kd",Kd_RECORD_PRESENT,"1786533,2427304,2427305,2500118,2587664","109433,128879,130783,131363",EVEROLIMUS: INHIBITOR; PIMECROLIMUS: INHIBITOR; SIROLIMUS: INHIBITOR; TACROLIMUS: INHIBITOR; TEMSIROLIMUS: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.1789473684210526,False,34.0,0.3053140243978619,JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL1902
15,P1 前10排名且仍可探索,C384-196,thalidomide,CRL4(CRBN) E3 ubiquitin ligase,MIF — Macrophage migration inhibitory factor,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BTZO-1,2,仍可探索,测纯母药，近邻若为连接分子不转移其亲和值。,沙利度胺嵌合物证据不能证明母药MIF作用，但也不是母药阴性。,thalidomide,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,新诊断MM联合dexamethasone；麻风结节性红斑皮肤表现急性治疗及复发预防/抑制（不是抗麻风菌）,rheumatoid arthritis,False,UEJJHQNACJXSKW-UHFFFAOYSA-N,CHEMBL3833061,CRL4(CRBN) E3 ubiquitin ligase inhibitor,MIF,CHEMBL2085,CHEMBL4516611,"Kd,IC50",Kd_RECORD_PRESENT,"2142948,2255634,2579514,2579517,2579529","115337,124768,131250",,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3544303797468354,False,9.0,0.680215931429351,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL2085
16,P1 前10排名且仍可探索,C384-197,armodafinil,Sodium-dependent dopamine transporter,NR3C2 — Mineralocorticoid receptor,DESOXYCORTICOSTERONE ACETATE; DESOXYCORTICOSTERONE PIVALATE; DROSPIRENONE; EPLERENONE; FELODIPINE; FINERENONE; FLUDROCORTISONE ACETATE; NIMODIPINE; SPIRONOLACTONE; VAMOROLONE,ALDOSTERONE,2,仍可探索,R实体身份一致，配体竞争与报告基因区分方向。,阿莫达非尼–MR可作受体探索，DAT原机制不是反对证据；Duchenne获益方向待定。,armodafinil,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,OSA相关过度嗜睡、发作性睡病及轮班睡眠障碍的清醒改善；不治疗OSA气道阻塞,Duchenne muscular dystrophy,False,YFGHCGITMMYXAQ-LJQANCHMSA-N,CHEMBL238,Dopamine transporter inhibitor,NR3C2,CHEMBL1994,CHEMBL273453,"Kd,IC50",Kd_RECORD_PRESENT,"1658414,1791561","104297,109666",DESOXYCORTICOSTERONE ACETATE: AGONIST; DESOXYCORTICOSTERONE PIVALATE: AGONIST; DROSPIRENONE: ANTAGONIST; EPLERENONE: ANTAGONIST; FELODIPINE: ANTAGONIST; FINERENONE: ANTAGONIST; FLUDROCORTISONE ACETATE: AGONIST; NIMODIPINE: ANTAGONIST; SPIRONOLACTONE: ANTAGONIST; VAMOROLONE: ANTAGONIST,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3191489361702128,False,30.0,0.5581630533410797,YFGHCGITMMYXAQ-LJQANCHMSA-N__CHEMBL1994
17,P1 前10排名且仍可探索,C384-287,diltiazem,Voltage-gated L-type calcium channel,REN — Renin,ALISKIREN FUMARATE,REMIKIREN,2,仍可探索,纯化REN实验与系统反馈明确分开。,地尔硫卓人体肾素升高反映反馈，不是纯REN抑制的支持或硬反证。,diltiazem,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,高血压、慢性稳定/冠痉挛心绞痛；注射用于房颤/房扑心率控制及PSVT转复,stroke disorder,False,HSUGRBWQSSZJOP-RTWAWAEBSA-N,CHEMBL2095229,Voltage-gated L-type calcium channel blocker,REN,CHEMBL286,CHEMBL31601,Kd,Kd_RECORD_PRESENT,1822359,110775,ALISKIREN FUMARATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2252252252252252,False,39.0,0.4695465783482034,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL286
18,P1 前10排名且仍可探索,C384-303,upadacitinib,Non-receptor tyrosine-protein kinase TYK2; Tyrosine-protein kinase JAK1; Tyrosine-protein kinase JAK2; Tyrosine-protein kinase JAK3,PRKCB — Protein kinase C beta type,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ENZASTAURIN,2,仍可探索,PRKCB与JAK功能并行确定独立作用。,乌帕替尼–PRKCB可探索跨激酶机制，JAK选择性和相等近邻都不代表PRKCB阴性。,upadacitinib,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,RA/PsA、难治特应皮炎、UC/CD、AS/非放射轴性脊关节炎、pJIA及成人巨细胞动脉炎；不同既往治疗、年龄/体重限制；不推荐其他JAK/生物/强免疫抑制联合,acute myeloid leukemia,False,WYQFJHHDOKWSHR-MNOVXSKESA-N,CHEMBL2148; CHEMBL2835; CHEMBL2971; CHEMBL3553,Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; Tyrosine-protein kinase TYK2 inhibitor,PRKCB,CHEMBL3045,CHEMBL300138,"IC50,Kd",Kd_RECORD_PRESENT,"160462,160611,1643023,1777427,2255762,2578754","5538,103566,109000,124768,131242",,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.247191011235955,False,43.0,0.5882603093461414,WYQFJHHDOKWSHR-MNOVXSKESA-N__CHEMBL3045
19,P1 前10排名且仍可探索,C384-003,carglumic acid,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",MMP12 — Macrophage metalloelastase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL2385479,3,仍可探索,确认成熟含锌MMP12与参照响应；结合和正交酶活一致后继续，不把其他伪二肽效力移植给本药。,carglumic acid–MMP12不能借用疏水取代伪二肽效力，但母药酶学与结合探索仍可开展。,carglumic acid,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NAGS缺乏急性高氨血症辅助及慢性维持；PA/MMA导致急性高氨血症辅助治疗；成人/儿科,peripheral vascular disease,True,LCQLHJZYVOQKHU-VKHMYHEASA-N,CHEMBL2362990,"Carbamoyl-phosphate synthase [ammonia], mitochondrial positive allosteric modulator",MMP12,CHEMBL4393,CHEMBL2385479,"Ki,Kd",Kd_RECORD_PRESENT,"960929,1564753","73680,98640",,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3617021276595745,False,50.0,0.4088712770621497,LCQLHJZYVOQKHU-VKHMYHEASA-N__CHEMBL4393
20,P1 前10排名且仍可探索,C384-121,diazoxide,ATP-sensitive inward rectifier potassium channel 11; ATP-sensitive inward rectifier potassium channel 8,CSF1R — Macrophage colony-stimulating factor 1 receptor,AXATILIMAB; PAZOPANIB HYDROCHLORIDE; PEXIDARTINIB; PEXIDARTINIB HYDROCHLORIDE; QUIZARTINIB; SUNITINIB; SUNITINIB MALATE,DASATINIB ANHYDROUS,3,仍可探索,若保留，先确认纯CSF1R构建及激酶活性筛查，再考虑SPR；不得把纠正低血糖解释为肿瘤抑制。,diazoxide–CSF1R的GFP报告标记非药物靶点测量，去掉误支持后可生化探索，低血糖控制不作抗肿瘤证据。,diazoxide,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,高胰岛素性低血糖（含胰岛腺瘤/癌及胰外肿瘤相关）；可术前暂时及术后持续低血糖支持,pancreatic neuroendocrine tumor,False,GDLBFKVLRPITMI-UHFFFAOYSA-N,CHEMBL1886; CHEMBL4770,"Potassium channel, inwardly rectifying, subfamily J, member 11 opener; Potassium channel, inwardly rectifying, subfamily J, member 8 opener",CSF1R,CHEMBL1844,CHEMBL1421,"Kd,IC50",Kd_RECORD_PRESENT,"586446,609722,979930,2161762,2161769,2480021,2504703","48311,49695,74702,121983,130167,130906",AXATILIMAB: INHIBITOR; PAZOPANIB HYDROCHLORIDE: INHIBITOR; PEXIDARTINIB: INHIBITOR; PEXIDARTINIB HYDROCHLORIDE: INHIBITOR; QUIZARTINIB: INHIBITOR; SUNITINIB: INHIBITOR; SUNITINIB MALATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2622950819672131,False,2.0,0.3437859909968013,GDLBFKVLRPITMI-UHFFFAOYSA-N__CHEMBL1844
21,P1 前10排名且仍可探索,C384-222,lenalidomide,CRL4(CRBN) E3 ubiquitin ligase,AXL — Tyrosine-protein kinase receptor UFO,GILTERITINIB; GILTERITINIB FUMARATE,STAUROSPORINE,3,仍可探索,纯母药AXL酶活；不将降解或嵌合物效力转移。,来那度胺CRBN招募不是AXL二元结合，纠正证据后仍可测母药新机制。,lenalidomide,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,MM治疗/移植后维持；5q缺失MDS输血依赖贫血；MCL；限定FL/MZL联合rituximab,acute myeloid leukemia,False,GOTYRUGSSMKFNF-UHFFFAOYSA-N,CHEMBL3833061,CRL4(CRBN) E3 ubiquitin ligase inhibitor; CRL4(CRBN) E3 ubiquitin ligase modulator,AXL,CHEMBL4895,CHEMBL388978,"Kd,IC50",Kd_RECORD_PRESENT,"587173,1284306,1586008,1826717,2065575,2517540,2583115","48311,76491,99644,110907,119003,131000,131258",GILTERITINIB: INHIBITOR; GILTERITINIB FUMARATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3645833333333333,False,50.0,0.5964695887346021,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL4895
22,P1 前10排名且仍可探索,C384-288,ixabepilone,Tubulin,CSF1R — Macrophage colony-stimulating factor 1 receptor,AXATILIMAB; PAZOPANIB HYDROCHLORIDE; PEXIDARTINIB; PEXIDARTINIB HYDROCHLORIDE; QUIZARTINIB; SUNITINIB; SUNITINIB MALATE,DASATINIB ANHYDROUS,3,仍可探索,单药CSF1R功能及实际可溶浓度确认。,伊沙匹隆–CSF1R专利合用列表无直连；细胞毒性不能证明也不能否定新激酶结合。,ixabepilone,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,蒽环/紫杉耐药局晚或转移乳腺癌联合capecitabine；蒽环/紫杉/capecitabine失败后单药,acute myeloid leukemia by FAB classification,False,FABUFPQFXZVHFB-PVYNADRNSA-N,CHEMBL2095182,Tubulin inhibitor,CSF1R,CHEMBL1844,CHEMBL1421,"Kd,IC50",Kd_RECORD_PRESENT,"586446,609722,979930,2161762,2161769,2480021,2504703","48311,49695,74702,121983,130167,130906",AXATILIMAB: INHIBITOR; PAZOPANIB HYDROCHLORIDE: INHIBITOR; PEXIDARTINIB: INHIBITOR; PEXIDARTINIB HYDROCHLORIDE: INHIBITOR; QUIZARTINIB: INHIBITOR; SUNITINIB: INHIBITOR; SUNITINIB MALATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.175,False,43.0,0.3880588474189368,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL1844
23,P1 前10排名且仍可探索,C384-304,esketamine,Glutamate [NMDA] receptor,GSK3A — Glycogen synthase kinase-3 alpha,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ABEMACICLIB,3,仍可探索,S体纯酶GSK3A/B测试与NMDA机制分离。,艾司氯胺酮GSK3A下游磷酸化不是直接占位；MDD重叠只限制疾病新颖性。,esketamine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,难治抑郁及伴急性自杀意念/行为的MDD抑郁症状；不是已证实自杀预防，也非标签麻醉,major depressive disorder,False,YQEZLKZALYSWHR-ZDUSSCGKSA-N,CHEMBL2094124,Glutamate [NMDA] receptor negative allosteric modulator,GSK3A,CHEMBL2850,CHEMBL3301610,Kd,Kd_RECORD_PRESENT,1642906,103566,,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.25,False,8.0,0.5368611960321339,YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL2850
24,P1 前10排名且仍可探索,C384-080,ibuprofen,Cyclooxygenase,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; TOPIRAMATE,ACETAZOLAMIDE,4,仍可探索,用含锌CA4胞外域及参照，酶活与结合一致再升级；先核是否已有未收录文献。,ibuprofen–CA4偏头痛仍接近原镇痛领域，影响跨领域新颖性而非是否值得研究新靶点。,ibuprofen,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,RA/OA症状、轻中度痛、原发痛经；所抓OTC标签还含头痛/肌痛/牙痛/背痛/感冒伴疼痛与退热；不表示抗感染,migraine disorder,False,HEFNNWSXXWATRW-UHFFFAOYSA-N,CHEMBL2094253,Cyclooxygenase inhibitor,CA4,CHEMBL3729,CHEMBL20,"Ki,Kd",Kd_RECORD_PRESENT,"302669,515684,801484,1441636,1657658,1816901,1816913,2081159,2279192,2341559,2602957","20788,45608,60975,89666,104260,110654,119561,125437,127254,136170",ACETAZOLAMIDE: INHIBITOR; ACETAZOLAMIDE SODIUM: INHIBITOR; DICHLORPHENAMIDE: INHIBITOR; METHAZOLAMIDE: INHIBITOR; TOPIRAMATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.4883720930232558,True,24.0,0.5835108789443033,HEFNNWSXXWATRW-UHFFFAOYSA-N__CHEMBL3729
25,P1 前10排名且仍可探索,C384-082,lisinopril,Angiotensin-converting enzyme,REN — Renin,ALISKIREN FUMARATE,REMIKIREN,4,仍可探索,用成熟活性肾素直接测酶活，先排ACE反馈解释，阳性再SPR复测。,lisinopril–REN的肾素反馈增加既不是直接作用也不是纯酶阴性，可检验直接交叉机制。,lisinopril,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,高血压、收缩性心衰辅助、急性心梗降低死亡；卒中风险降低属CV收益,stroke disorder,False,RLAWWYSOJDYHDC-BZSNNMDCSA-N,CHEMBL1808,Angiotensin-converting enzyme inhibitor,REN,CHEMBL286,CHEMBL31601,Kd,Kd_RECORD_PRESENT,1822359,110775,ALISKIREN FUMARATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.6,True,28.0,0.4695465783482034,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL286
26,P1 前10排名且仍可探索,C384-004,apixaban,Coagulation factor X,FLT3 — Receptor-type tyrosine-protein kinase FLT3,FEDRATINIB; FEDRATINIB HYDROCHLORIDE; GILTERITINIB; GILTERITINIB FUMARATE; MIDOSTAURIN; PACRITINIB; PACRITINIB CITRATE; PEXIDARTINIB; PEXIDARTINIB HYDROCHLORIDE; QUIZARTINIB; QUIZARTINIB DIHYDROCHLORIDE; SORAFENIB TOSYLATE; SUNITINIB; SUNITINIB MALATE,STAUROSPORINE,4,仍可探索,先以FLT3激酶域和匹配对照验证结合，阳性再测酶活；细胞抗炎现象需排除原抗凝通路解释。,apixaban–FLT3缺直接记录且近邻不占优，仅降低把握；不是FXa药就不能结合FLT3。,apixaban,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,非瓣膜房颤卒中/系统栓塞预防；关节置换后DVT预防；DVT/PE及儿童VTE治疗和复发预防,rheumatoid arthritis,True,QNZCBYKSOIHPEH-UHFFFAOYSA-N,CHEMBL244,Coagulation factor X inhibitor,FLT3,CHEMBL1974,CHEMBL388978,"Kd,IC50",Kd_RECORD_PRESENT,"325061,586328,586476,586572,586573,586965,1671227,1730336,1740135,1740157,1740158,1740159,1740160,1740161,1740162,1740163,1932573,2065472,2093688,2220407,2220408,2492432,2583218","30300,48311,104767,107047,107425,114527,119003,119936,123687,130585,131258",FEDRATINIB: INHIBITOR; FEDRATINIB HYDROCHLORIDE: INHIBITOR; GILTERITINIB: INHIBITOR; GILTERITINIB FUMARATE: INHIBITOR; MIDOSTAURIN: INHIBITOR; PACRITINIB: INHIBITOR; PACRITINIB CITRATE: INHIBITOR; PEXIDARTINIB: INHIBITOR; PEXIDARTINIB HYDROCHLORIDE: INHIBITOR; QUIZARTINIB: INHIBITOR; QUIZARTINIB DIHYDROCHLORIDE: INHIBITOR; SORAFENIB TOSYLATE: INHIBITOR; SUNITINIB: INHIBITOR; SUNITINIB MALATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3055555555555556,False,2.0,0.4639543275063341,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL1974
27,P1 前10排名且仍可探索,C384-102,nimodipine,Mineralocorticoid receptor; Voltage-gated L-type calcium channel,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,4,仍可探索,确认含锌CA7及实际可溶浓度，结合和酶活一致再升级。,nimodipine–CA7无直接实测仅是证据缺口，可在实际可溶浓度内做酶活结合探索。,nimodipine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,动脉瘤破裂蛛网膜下腔出血后减少缺血神经缺损,open-angle glaucoma,True,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,CHEMBL1994; CHEMBL2095229,Mineralocorticoid receptor antagonist; Voltage-gated L-type calcium channel blocker,CA7,CHEMBL2326,CHEMBL18,"Ki,Kd",Kd_RECORD_PRESENT,"302350,989827","20823,75385",METHAZOLAMIDE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3255813953488372,False,13.0,0.3695798546847018,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL2326
28,P1 前10排名且仍可探索,C384-103,etravirine,Human immunodeficiency virus type 1 reverse transcriptase,FLT3 — Receptor-type tyrosine-protein kinase FLT3,FEDRATINIB; FEDRATINIB HYDROCHLORIDE; GILTERITINIB; GILTERITINIB FUMARATE; MIDOSTAURIN; PACRITINIB; PACRITINIB CITRATE; PEXIDARTINIB; PEXIDARTINIB HYDROCHLORIDE; QUIZARTINIB; QUIZARTINIB DIHYDROCHLORIDE; SORAFENIB TOSYLATE; SUNITINIB; SUNITINIB MALATE,STAUROSPORINE,4,仍可探索,匹配FLT3活性域及参照，直接结合/酶活后再核疾病亚型。,etravirine–FLT3临床相互作用名单非结合资料，仍可直接检验这一未知关系。,etravirine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,经治HIV患者联合抗逆转录病毒治疗,cancer,True,PYGWGZALEOIKDF-UHFFFAOYSA-N,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,FLT3,CHEMBL1974,CHEMBL388978,"Kd,IC50",Kd_RECORD_PRESENT,"325061,586328,586476,586572,586573,586965,1671227,1730336,1740135,1740157,1740158,1740159,1740160,1740161,1740162,1740163,1932573,2065472,2093688,2220407,2220408,2492432,2583218","30300,48311,104767,107047,107425,114527,119003,119936,123687,130585,131258",FEDRATINIB: INHIBITOR; FEDRATINIB HYDROCHLORIDE: INHIBITOR; GILTERITINIB: INHIBITOR; GILTERITINIB FUMARATE: INHIBITOR; MIDOSTAURIN: INHIBITOR; PACRITINIB: INHIBITOR; PACRITINIB CITRATE: INHIBITOR; PEXIDARTINIB: INHIBITOR; PEXIDARTINIB HYDROCHLORIDE: INHIBITOR; QUIZARTINIB: INHIBITOR; QUIZARTINIB DIHYDROCHLORIDE: INHIBITOR; SORAFENIB TOSYLATE: INHIBITOR; SUNITINIB: INHIBITOR; SUNITINIB MALATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3692307692307692,False,35.0,0.6309271689233309,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1974
