排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,新靶点实验参考化合物名称,结合排名_每药384靶点,当前实验建议,需先确认的事项,名称与实物核验说明
189,P2 第11–20排名且仍可探索,C384-193,roflumilast,Phosphodiesterase 4,ACHE — Acetylcholinesterase,AMBENONIUM CHLORIDE; BENZGALANTAMINE GLUCONATE; DEMECARIUM BROMIDE; DISTIGMINE; DONEPEZIL HYDROCHLORIDE; ECHOTHIOPHATE; ECHOTHIOPHATE IODIDE; EDROPHONIUM CHLORIDE; GALANTAMINE HYDROBROMIDE; HEXAFLUORENIUM BROMIDE; ISOFLUROPHATE; NEOSTIGMINE METHYLSULFATE; PHYSOSTIGMINE SALICYLATE; PRALIDOXIME CHLORIDE; PYRIDOSTIGMINE BROMIDE,HUPERZINE A,18,仍可探索,按母药而非N-oxide配制；用ACHE活性与SPR互证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
190,P2 第11–20排名且仍可探索,C384-251,glasdegib,Protein smoothened,FAAH — Fatty-acid amide hydrolase 1,ACETAMINOPHEN,MK-3168,18,仍可探索,FAAH功能及非特异反筛，不归因一般抗炎表型。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
191,P2 第11–20排名且仍可探索,C384-252,lubiprostone,Chloride channel protein 2,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,EVEROLIMUS; PIMECROLIMUS; SIROLIMUS; TACROLIMUS; TEMSIROLIMUS,SIROLIMUS,18,仍可探索,确认母体及可用浓度，FKBP竞争验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
192,P2 第11–20排名且仍可探索,C384-253,vaborbactam,Carbapenem-hydrolyzing beta-lactamase KPC,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,EVEROLIMUS; PIMECROLIMUS; SIROLIMUS; TACROLIMUS; TEMSIROLIMUS,SIROLIMUS,18,仍可探索,使用单成分并测FKBP12，勿迁移细菌蛋白结果。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
193,P2 第11–20排名且仍可探索,C384-254,ubrogepant,Calcitonin gene-related peptide type 1 receptor,METAP2 — Methionine aminopeptidase 2,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,WM-1119,18,仍可探索,METAP2金属条件和METAP1反筛，疾病推断另评。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
194,P2 第11–20排名且仍可探索,C384-255,mirabegron,Beta-3 adrenergic receptor,MME — Neprilysin,RACECADOTRIL; SACUBITRIL,OMAPATRILAT,18,仍可探索,用纯MME活性检验新机制，控制可用浓度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
195,P2 第11–20排名且仍可探索,C384-280,silodosin,Alpha-1A adrenergic receptor,CSF1R — Macrophage colony-stimulating factor 1 receptor,AXATILIMAB; PAZOPANIB HYDROCHLORIDE; PEXIDARTINIB; PEXIDARTINIB HYDROCHLORIDE; QUIZARTINIB; SUNITINIB; SUNITINIB MALATE,DASATINIB ANHYDROUS,18,仍可探索,CSF1R功能后确认肺动脉高压作用方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
196,P2 第11–20排名且仍可探索,C384-185,loxapine,5-hydroxytryptamine receptor 2A; 5-hydroxytryptamine receptor 2C; D2-like dopamine receptor,NTRK3 — NT-3 growth factor receptor,REPOTRECTINIB,STAUROSPORINE,18,仍可探索,核对精确loxapine结构并做TRKC酶活，避免将LOXO-195/larotrectinib资料误归本药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
197,P2 第11–20排名且仍可探索,C384-186,brivaracetam,Synaptic vesicle glycoprotein 2A,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL5810180,18,仍可探索,先与levetiracetam同批PDE9酶活比较，再选可重复且有选择性的一个做SPR梯度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
198,P2 第11–20排名且仍可探索,C384-187,levetiracetam,Synaptic vesicle glycoprotein 2A; Voltage-dependent N-type calcium channel subunit alpha-1B,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL5810180,18,仍可探索,与brivaracetam共用PDE9酶学预筛，阳性后排除检测干扰再做结合验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
199,P2 第11–20排名且仍可探索,C384-357,enasidenib,"Isocitrate dehydrogenase [NADP], mitochondrial",LCK — Tyrosine-protein kinase Lck,PAZOPANIB HYDROCHLORIDE,DASATINIB ANHYDROUS,18,仍可探索,纯LCK与IDH2功能分开检验。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
200,P2 第11–20排名且仍可探索,C384-358,duvelisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform; Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",PARP2 — Poly [ADP-ribose] polymerase 2,NIRAPARIB; NIRAPARIB TOSYLATE MONOHYDRATE; TALAZOPARIB; TALAZOPARIB TOSYLATE,TALAZOPARIB,18,仍可探索,纯PARP2/PARP1催化实验，不把细胞DNA损伤直接归因。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
201,P2 第11–20排名且仍可探索,C384-359,desoximetasone,Glucocorticoid receptor,RARB — Retinoic acid receptor beta,TAMIBAROTENE,TRETINOIN,18,仍可探索,母药RARB与GR报告分开；银屑病重叠单列。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
202,P2 第11–20排名且仍可探索,C384-379,gepirone,5-hydroxytryptamine receptor 1A,GSK3B — Glycogen synthase kinase-3 beta,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,STAUROSPORINE,18,仍可探索,纯GSK3B功能与5HT1A分离，双相获益另证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
203,P2 第11–20排名且仍可探索,C384-023,tapinarof,Aryl hydrocarbon receptor,ESR1 — Estrogen receptor,CLOMIPHENE CITRATE; DIETHYLSTILBESTROL; ELACESTRANT; ELACESTRANT HYDROCHLORIDE; ESTRADIOL; ESTRADIOL ACETATE; ESTRADIOL CYPIONATE; ESTRADIOL VALERATE; ESTRONE; ESTROPIPATE; ETHINYL ESTRADIOL; FULVESTRANT; MESTRANOL; POLYESTRADIOL PHOSPHATE; RALOXIFENE; TAMOXIFEN CITRATE,CHEMBL377849,19,仍可探索,先验证ER-LBD结合及竞争，再区分激动拮抗；同时控制AHR解释。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
204,P2 第11–20排名且仍可探索,C384-024,givinostat,Histone deacetylase,FLT1 — Vascular endothelial growth factor receptor 1,SUNITINIB,STAUROSPORINE,19,仍可探索,确认FLT1使用域并用匹配参照；结合阳性再做激酶/受体功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
205,P2 第11–20排名且仍可探索,C384-025,ozanimod,Sphingosine 1-phosphate receptor 1; Sphingosine 1-phosphate receptor 5,JAK2 — Tyrosine-protein kinase JAK2,BARICITINIB; DEURUXOLITINIB PHOSPHATE; FEDRATINIB; FEDRATINIB HYDROCHLORIDE; FILGOTINIB; FILGOTINIB MALEATE; MOMELOTINIB; MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE; PACRITINIB; PACRITINIB CITRATE; RUXOLITINIB PHOSPHATE; UPADACITINIB HEMIHYDRATE,RUXOLITINIB,19,仍可探索,先测纯母药JAK2作用，不能将S1P免疫细胞效应当激酶抑制。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
206,P2 第11–20排名且仍可探索,C384-151,ranolazine,Sodium channel protein type 4 subunit alpha; Sodium channel protein type 5 subunit alpha,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,19,仍可探索,核实CA1/2论文浓度单位和方法，再同条件检测CA7；若仅高浓度普遍抑制则后置。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
207,P2 第11–20排名且仍可探索,C384-152,rilpivirine,Human immunodeficiency virus type 1 reverse transcriptase,MAPK8 — Mitogen-activated protein kinase 8,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,STAUROSPORINE,19,仍可探索,用JNK1/2并行酶学先作区分，有重复浓度依赖后选择最可解释者。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
208,P2 第11–20排名且仍可探索,C384-153,dasabuvir,RNA-directed RNA polymerase,NR3C1 — Glucocorticoid receptor,ALCLOMETASONE DIPROPIONATE; AMCINONIDE; BECLOMETHASONE DIPROPIONATE; BETAMETHASONE; BETAMETHASONE ACETATE; BETAMETHASONE BENZOATE; BETAMETHASONE DIPROPIONATE; BETAMETHASONE SODIUM PHOSPHATE; BETAMETHASONE VALERATE; BUDESONIDE; CICLESONIDE; CLOBETASOL PROPIONATE; CLOCORTOLONE PIVALATE; CORTISONE ACETATE; CORTIVAZOL; DEFLAZACORT; DESONIDE; DESOXIMETASONE; DEXAMETHASONE; DEXAMETHASONE ACETATE; DEXAMETHASONE SODIUM PHOSPHATE; DIFLORASONE DIACETATE; DIFLUPREDNATE; FLUMETHASONE PIVALATE; FLUNISOLIDE; FLUOCINOLONE ACETONIDE; FLUOCINONIDE; FLUOROMETHOLONE; FLUOROMETHOLONE ACETATE; FLUPREDNISOLONE; FLURANDRENOLIDE; FLUTICASONE FUROATE; FLUTICASONE PROPIONATE; HALCINONIDE; HALOBETASOL PROPIONATE; HYDROCORTAMATE HYDROCHLORIDE; HYDROCORTISONE; HYDROCORTISONE ACETATE; HYDROCORTISONE BUTYRATE; HYDROCORTISONE CYPIONATE; HYDROCORTISONE PROBUTATE; HYDROCORTISONE SODIUM PHOSPHATE; HYDROCORTISONE SODIUM SUCCINATE; HYDROCORTISONE VALERATE; LOTEPREDNOL ETABONATE; MEDRYSONE; MEPREDNISONE; METHYLPREDNISOLONE; METHYLPREDNISOLONE ACETATE; METHYLPREDNISOLONE SODIUM SUCCINATE; MIFEPRISTONE; MOMETASONE FUROATE; PARAMETHASONE ACETATE; PREDNICARBATE; PREDNISOLONE; PREDNISOLONE ACETATE; PREDNISOLONE SODIUM PHOSPHATE; PREDNISOLONE TEBUTATE; PREDNISONE; RIMEXOLONE; TRIAMCINOLONE; TRIAMCINOLONE ACETONIDE; TRIAMCINOLONE DIACETATE; TRIAMCINOLONE HEXACETONIDE; VAMOROLONE,PREDNISONE,19,仍可探索,先在GR配体域和功能报告平台取得配对证据，明确癌种后再考虑疾病验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
209,P2 第11–20排名且仍可探索,C384-257,indapamide,Solute carrier family 12 member 3,ACE — Angiotensin-converting enzyme,BENAZEPRIL HYDROCHLORIDE; CAPTOPRIL; CILAZAPRIL; ENALAPRIL MALEATE; ENALAPRILAT; FOSINOPRIL SODIUM; IMIDAPRIL; LISINOPRIL; MOEXIPRIL HYDROCHLORIDE; PERINDOPRIL ARGININE; PERINDOPRIL ERBUMINE; QUINAPRIL HYDROCHLORIDE; RAMIPRIL; SPIRAPRIL HYDROCHLORIDE; TRANDOLAPRIL,LISINOPRIL ANHYDROUS,19,仍可探索,单成分ACE活性及参考物对照。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
210,P2 第11–20排名且仍可探索,C384-258,vibegron,Beta-3 adrenergic receptor,ROCK2 — Rho-associated protein kinase 2,BELUMOSUDIL,Y-39983,19,仍可探索,成熟ROCK2平台可探索，激酶功能复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
211,P2 第11–20排名且仍可探索,C384-259,nalmefene,Delta-type opioid receptor; Kappa-type opioid receptor; Mu-type opioid receptor,VDR — Vitamin D3 receptor,ALFACALCIDOL; CALCIFEDIOL; CALCIPOTRIENE; CALCITRIOL; CHOLECALCIFEROL; DIHYDROTACHYSTEROL; DOXERCALCIFEROL; ERGOCALCIFEROL; PARICALCITOL,CHEMBL4066573,19,仍可探索,竞争及共调节/报告读出明确作用方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
212,P2 第11–20排名且仍可探索,C384-188,selinexor,Exportin-1,ABL1 — Tyrosine-protein kinase ABL1,ASCIMINIB; BOSUTINIB; DASATINIB ANHYDROUS; IMATINIB MESYLATE; NILOTINIB HYDROCHLORIDE MONOHYDRATE; REGORAFENIB; UMBRALISIB TOSYLATE,PONATINIB,19,仍可探索,先取得单药ABL1生化证据并区分ABL1与融合构建，不能把联用增效当直接结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
213,P2 第11–20排名且仍可探索,C384-221,rosuvastatin,3-hydroxy-3-methylglutaryl-coenzyme A reductase,NR3C2 — Mineralocorticoid receptor,DESOXYCORTICOSTERONE ACETATE; DESOXYCORTICOSTERONE PIVALATE; DROSPIRENONE; EPLERENONE; FELODIPINE; FINERENONE; FLUDROCORTISONE ACETATE; NIMODIPINE; SPIRONOLACTONE; VAMOROLONE,ALDOSTERONE,19,仍可探索,MR竞争/报告明确方向，药物实际可用浓度达标。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
214,P2 第11–20排名且仍可探索,C384-361,tasimelteon,Melatonin receptor,NR3C1 — Glucocorticoid receptor,ALCLOMETASONE DIPROPIONATE; AMCINONIDE; BECLOMETHASONE DIPROPIONATE; BETAMETHASONE; BETAMETHASONE ACETATE; BETAMETHASONE BENZOATE; BETAMETHASONE DIPROPIONATE; BETAMETHASONE SODIUM PHOSPHATE; BETAMETHASONE VALERATE; BUDESONIDE; CICLESONIDE; CLOBETASOL PROPIONATE; CLOCORTOLONE PIVALATE; CORTISONE ACETATE; CORTIVAZOL; DEFLAZACORT; DESONIDE; DESOXIMETASONE; DEXAMETHASONE; DEXAMETHASONE ACETATE; DEXAMETHASONE SODIUM PHOSPHATE; DIFLORASONE DIACETATE; DIFLUPREDNATE; FLUMETHASONE PIVALATE; FLUNISOLIDE; FLUOCINOLONE ACETONIDE; FLUOCINONIDE; FLUOROMETHOLONE; FLUOROMETHOLONE ACETATE; FLUPREDNISOLONE; FLURANDRENOLIDE; FLUTICASONE FUROATE; FLUTICASONE PROPIONATE; HALCINONIDE; HALOBETASOL PROPIONATE; HYDROCORTAMATE HYDROCHLORIDE; HYDROCORTISONE; HYDROCORTISONE ACETATE; HYDROCORTISONE BUTYRATE; HYDROCORTISONE CYPIONATE; HYDROCORTISONE PROBUTATE; HYDROCORTISONE SODIUM PHOSPHATE; HYDROCORTISONE SODIUM SUCCINATE; HYDROCORTISONE VALERATE; LOTEPREDNOL ETABONATE; MEDRYSONE; MEPREDNISONE; METHYLPREDNISOLONE; METHYLPREDNISOLONE ACETATE; METHYLPREDNISOLONE SODIUM SUCCINATE; MIFEPRISTONE; MOMETASONE FUROATE; PARAMETHASONE ACETATE; PREDNICARBATE; PREDNISOLONE; PREDNISOLONE ACETATE; PREDNISOLONE SODIUM PHOSPHATE; PREDNISOLONE TEBUTATE; PREDNISONE; RIMEXOLONE; TRIAMCINOLONE; TRIAMCINOLONE ACETONIDE; TRIAMCINOLONE DIACETATE; TRIAMCINOLONE HEXACETONIDE; VAMOROLONE,PREDNISONE,19,仍可探索,GR竞争及报告方向，睡眠表型不作直接依据。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
215,P2 第11–20排名且仍可探索,C384-067,sapropterin,Phenylalanine-4-hydroxylase,CHEK2 — Serine/threonine-protein kinase Chk2,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL4465866,20,仍可探索,确认样品状态与CHEK2活性构建，已有独立作用线索再投入。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
216,P2 第11–20排名且仍可探索,C384-070,lubiprostone,Chloride channel protein 2,NR3C2 — Mineralocorticoid receptor,DESOXYCORTICOSTERONE ACETATE; DESOXYCORTICOSTERONE PIVALATE; DROSPIRENONE; EPLERENONE; FELODIPINE; FINERENONE; FLUDROCORTISONE ACETATE; NIMODIPINE; SPIRONOLACTONE; VAMOROLONE,ALDOSTERONE,20,仍可探索,若做需MR-LBD直接竞争和功能区分，另审局部母药到系统用途的暴露。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
217,P2 第11–20排名且仍可探索,C384-071,varenicline,Neuronal acetylcholine receptor; alpha4/beta2,NTRK3 — NT-3 growth factor receptor,REPOTRECTINIB,STAUROSPORINE,20,仍可探索,先取得直接药理线索，已有TrkC体系才低成本探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
218,P2 第11–20排名且仍可探索,C384-086,belzutifan,Endothelial PAS domain-containing protein 1,AR — Androgen receptor,ABIRATERONE; APALUTAMIDE; BICALUTAMIDE; CLASCOTERONE; DANAZOL; DAROLUTAMIDE; DROMOSTANOLONE PROPIONATE; ENZALUTAMIDE; ETHYLESTRENOL; FLUOXYMESTERONE; FLUTAMIDE; METHYLTESTOSTERONE; NANDROLONE DECANOATE; NANDROLONE PHENPROPIONATE; NILUTAMIDE; OXANDROLONE; OXYMETHOLONE; STANOZOLOL; TESTOSTERONE; TESTOSTERONE CYPIONATE; TESTOSTERONE ENANTHATE; TESTOSTERONE PROPIONATE; TESTOSTERONE UNDECANOATE,TESTOSTERONE,20,仍可探索,已有AR体系才候补，先证受体结合与功能方向，不用HIF2α文章挪补。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
219,P2 第11–20排名且仍可探索,C384-263,bictegravir,Human immunodeficiency virus type 1 integrase,PARP2 — Poly [ADP-ribose] polymerase 2,NIRAPARIB; NIRAPARIB TOSYLATE MONOHYDRATE; TALAZOPARIB; TALAZOPARIB TOSYLATE,TALAZOPARIB,20,仍可探索,PARP2催化/竞争阳性后再聚焦癌种。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
220,P2 第11–20排名且仍可探索,C384-115,ketoprofen,Cyclooxygenase,PPARG — Peroxisome proliferator-activated receptor gamma,BALSALAZIDE DISODIUM; MESALAMINE; OLSALAZINE SODIUM; PIOGLITAZONE HYDROCHLORIDE,REVERSE TRIIODOTHYRONINE,20,仍可探索,先取得纯受体结合和转录方向，不能以镇痛效果作为新机制证明。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
221,P2 第11–20排名且仍可探索,C384-130,vemurafenib,Serine/threonine-protein kinase B-raf,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",ALPELISIB; COPANLISIB; COPANLISIB HYDROCHLORIDE; INAVOLISIB,WORTMANNIN,20,仍可探索,核对PI3Kα构建/调节亚基和阳性参考，测溶解度；SPR信号成立后用脂质激酶活性验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
222,P2 第11–20排名且仍可探索,C384-190,metformin,"Glycerol-3-phosphate dehydrogenase, mitochondrial; Mitochondrial complex I (NADH dehydrogenase)",FLT3 — Receptor-type tyrosine-protein kinase FLT3,FEDRATINIB; FEDRATINIB HYDROCHLORIDE; GILTERITINIB; GILTERITINIB FUMARATE; MIDOSTAURIN; PACRITINIB; PACRITINIB CITRATE; PEXIDARTINIB; PEXIDARTINIB HYDROCHLORIDE; QUIZARTINIB; QUIZARTINIB DIHYDROCHLORIDE; SORAFENIB TOSYLATE; SUNITINIB; SUNITINIB MALATE,STAUROSPORINE,20,仍可探索,先检验FLT3酶学并区分野生型/ITD构建，只有直接作用才复测SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
223,P2 第11–20排名且仍可探索,C384-191,alpelisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",MMP12 — Macrophage metalloelastase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL2385479,20,仍可探索,若MMP12体系已经成熟可先酶学，否则不为此配对单独开发蛋白体系。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
224,P3 先解决具体问题,C384-092,pomalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC2 — Histone deacetylase 2,VORINOSTAT,CHEMBL235842,1,先解决具体问题,核最近邻具体结构/端点；纯母药酶活证成后再SPR，若支持全来自衍生物则后置。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
225,P3 先解决具体问题,C384-116,dabrafenib,Serine/threonine-protein kinase B-raf,HDAC1 — Histone deacetylase 1,VORINOSTAT,TRICHOSTATIN,1,先解决具体问题,核本地最近邻是否即改造物；无纯母药酶活支持前不当高置信首批。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
226,P3 先解决具体问题,C384-117,telmisartan,Type-1 angiotensin II receptor,MME — Neprilysin,RACECADOTRIL; SACUBITRIL,OMAPATRILAT,1,先解决具体问题,先测工作液与参考表面背景，再用MME酶活和SPR交叉验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
227,P3 先解决具体问题,C384-088,esmolol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; TOPIRAMATE,ACETAZOLAMIDE,1,先解决具体问题,确认样品稳定性及含锌CA4胞外域，酶活与SPR一致再考虑机制意义。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
228,P3 先解决具体问题,C384-090,levamlodipine,Voltage-gated L-type calcium channel,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,1,先解决具体问题,核单一左旋实体，含锌CA7对照和酶活通过后复测结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
229,P3 先解决具体问题,C384-091,nevirapine,Human immunodeficiency virus type 1 reverse transcriptase,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",ABIRATERONE; ABIRATERONE ACETATE; LEVOKETOCONAZOLE,BIFONAZOLE,1,先解决具体问题,确认含血红素构建，分别做结合和类固醇代谢抑制验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
230,P3 先解决具体问题,C384-284,pilocarpine,Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M3,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",LEVOKETOCONAZOLE,OSILODROSTAT,1,先解决具体问题,11B1/11B2产物及构建分清；不可由11B2结合推降皮质醇。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
231,P3 先解决具体问题,C384-079,idelalisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",HDAC11 — Histone deacetylase 11,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,PANOBINOSTAT,2,先解决具体问题,查本地最近邻是否加锌结合基团，确认后测纯母药HDAC11功能及结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
232,P3 先解决具体问题,C384-097,betrixaban,Coagulation factor X,F7 — Coagulation factor VII,COAGULATION FACTOR VII HUMAN; EPTACOG ALFA (ACTIVATED); EPTACOG BETA (ACTIVATED),CHEMBL3127491,2,先解决具体问题,核活性F7a及参考体系，优先纯酶活；若确有作用，按脱靶机制而非自动新适应症推进。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
233,P3 先解决具体问题,C384-002,tedizolid,Bacterial 70S ribosome,NTRK2 — BDNF/NT-3 growth factors receptor,REPOTRECTINIB,STAUROSPORINE,2,先解决具体问题,优先查论文补充panel靶点及构建；若包含匹配TrkB且高浓度阴性则后置，否则以成熟激酶域对照后侦察。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
234,P3 先解决具体问题,C384-095,clascoterone,Androgen receptor,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",ABIRATERONE; ABIRATERONE ACETATE; LEVOKETOCONAZOLE,BIFONAZOLE,2,先解决具体问题,确认酯母体未以代谢物替代，测含血红素酶的结合与代谢/抑制功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
235,P3 先解决具体问题,C384-096,levamlodipine,Voltage-gated L-type calcium channel,DHFR — Dihydrofolate reductase,METHOTREXATE; METHOTREXATE SODIUM; PEMETREXED; PEMETREXED DIPOTASSIUM; PEMETREXED DISODIUM; PEMETREXED MONOHYDRATE; PEMETREXED TROMETHAMINE; PRALATREXATE,CHEMBL310759,2,先解决具体问题,先核左旋实体与人DHFR辅因子体系，酶活阳性再SPR复测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
236,P3 先解决具体问题,C384-099,acetaminophen,Cyclooxygenase; Fatty-acid amide hydrolase 1; Transient receptor potential cation channel subfamily V member 1,MIF — Macrophage migration inhibitory factor,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BTZO-1,2,先解决具体问题,先查母药自身直接对照结果；若只支持代谢物，不以母药占首批资源。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
237,P3 先解决具体问题,C384-195,gemcitabine,DNA polymerase (alpha/delta/epsilon); Ribonucleoside-diphosphate reductase RR1,DNMT1 — DNA (cytosine-5)-methyltransferase 1,AZACITIDINE; DECITABINE,CHEMBL5592841,2,先解决具体问题,查原酶种、DNA及代谢体条件；明确机制确认还是新结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
238,P3 先解决具体问题,C384-286,pilocarpine,Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M3,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",LEVOKETOCONAZOLE; METYRAPONE; MITOTANE; OSILODROSTAT PHOSPHATE,KETOCONAZOLE,2,先解决具体问题,11B1/11B2功能体系测通再测候选。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
239,P3 先解决具体问题,C384-101,thalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC2 — Histone deacetylase 2,VORINOSTAT,CHEMBL235842,3,先解决具体问题,核近邻是哪一端识别HDAC2，纯母药酶活可靠后再SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
240,P3 先解决具体问题,C384-100,etonogestrel,Progesterone receptor,ESR2 — Estrogen receptor beta,CHLOROTRIANISENE; ESTRAMUSTINE PHOSPHATE SODIUM; RALOXIFENE HYDROCHLORIDE,CHEMBL475278,3,先解决具体问题,若要测需明确ESR2与参照，区分PR作用和ER功能方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
241,P3 先解决具体问题,C384-159,bictegravir,Human immunodeficiency virus type 1 integrase,EZH2 — Histone-lysine N-methyltransferase EZH2,TAZEMETOSTAT HYDROBROMIDE,GSK2816126,3,先解决具体问题,先确认EZH2/PRC2构建和参考抑制剂活性，SPR后用甲基转移活性确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
242,P3 先解决具体问题,C384-160,baricitinib,Tyrosine-protein kinase JAK1; Tyrosine-protein kinase JAK2,HDAC1 — Histone deacetylase 1,VORINOSTAT,TRICHOSTATIN,3,先解决具体问题,先核查关键HDAC药效团，采用活性复合物酶学；只有母药出现独立效应才做SPR梯度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
243,P3 先解决具体问题,C384-161,articaine,Sodium channel alpha subunit,MME — Neprilysin,RACECADOTRIL; SACUBITRIL,OMAPATRILAT,3,先解决具体问题,确认纯articaine身份及稳定性，先用MME酶活筛查；无直接效应则后置。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
244,P3 先解决具体问题,C384-266,oxycodone,Mu-type opioid receptor,CA2 — Carbonic anhydrase 2,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; BRINZOLAMIDE; DICHLORPHENAMIDE; DORZOLAMIDE HYDROCHLORIDE; METHAZOLAMIDE; TOPIRAMATE,DORZOLAMIDE,3,先解决具体问题,查邻居身份、浓度和端点；可在成熟CA2体系小筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
