对照编号,新靶点名称,新靶点的已知药物名称,精确对照原始证据已匹配,对照身份,对照证据类型,对照确认状态,对照ChEMBL编号,对照完整InChIKey,对照SMILES,新靶点ChEMBL编号,新靶点基因,原对照名称,参考证据层级,真实ChEMBL实验编号,真实ChEMBL文献编号,证据文献DOI,原pair_id,对照用途
CTRL-081,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",研究化合物 CHEMBL5810180（无通用名称）,True,仅研究编号，实物待落实,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,CHEMBL5810180,FEPNMKDMRNRDPJ-APHBMKBZSA-N,C[C@@H](c1cnc(C2CC2)nc1)n1nc(C#N)c2c(=O)[nH]c([C@@H]3CC[C@H]3c3ncccn3)nc21,CHEMBL3535,PDE9A,CHEMBL5810180,Ki_NO_Kd_RECORD,CHEMBL5736469; CHEMBL5736916,CHEMBL5728301; CHEMBL5728515,,FEPNMKDMRNRDPJ-APHBMKBZSA-N__CHEMBL3535,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-082,TYK2 — Non-receptor tyrosine-protein kinase TYK2,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL3553,TYK2,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1061188; CHEMBL3820677; CHEMBL4050199; CHEMBL4328665; CHEMBL4686942; CHEMBL4720516; CHEMBL5720938; CHEMBL6089713,CHEMBL1150977; CHEMBL3817824; CHEMBL4049399; CHEMBL4325871; CHEMBL4680251; CHEMBL4715818; CHEMBL5715954; CHEMBL6087451,10.1016/j.bmc.2016.05.057; 10.1016/j.bmc.2017.02.030; 10.1016/j.bmc.2018.02.022; 10.1016/j.ejmech.2018.10.052; 10.1016/j.ejmech.2020.112277; 10.1021/acs.jmedchem.4c02030; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL3553,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-083,MET — Hepatocyte growth factor receptor,TEPOTINIB,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL3402762,AHYMHWXQRWRBKT-UHFFFAOYSA-N,CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,CHEMBL3717,MET,TEPOTINIB,Kd_RECORD_PRESENT,CHEMBL3404456; CHEMBL3767620; CHEMBL3991789; CHEMBL5339368; CHEMBL5516142; CHEMBL6186837,CHEMBL3399942; CHEMBL3763130; CHEMBL3991601; CHEMBL5338715; CHEMBL5512666; CHEMBL6182925,10.1016/j.bmcl.2015.02.002; 10.1016/j.ejmech.2015.12.016; 10.1016/j.ejmech.2022.114561; 10.1021/acs.jmedchem.3c02426; 10.1021/acs.jmedchem.5c00834; 10.1126/science.aan4368,AHYMHWXQRWRBKT-UHFFFAOYSA-N__CHEMBL3717,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-084,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE,True,通用名称已收录,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL20,BZKPWHYZMXOIDC-UHFFFAOYSA-N,CC(=O)Nc1nnc(S(N)(=O)=O)s1,CHEMBL3729,CA4,ACETAZOLAMIDE,Kd_RECORD_PRESENT,CHEMBL1948411; CHEMBL3377082; CHEMBL4007128; CHEMBL4316475; CHEMBL4316487; CHEMBL4736950; CHEMBL5239382; CHEMBL5352231; CHEMBL6077600; CHEMBL839013; CHEMBL993072,CHEMBL1143327; CHEMBL1144327; CHEMBL1944506; CHEMBL3352490; CHEMBL4004875; CHEMBL4312038; CHEMBL4732171; CHEMBL5236613; CHEMBL5346980; CHEMBL6074704,10.1016/j.bmc.2017.02.037; 10.1016/j.bmc.2022.117111; 10.1016/j.bmcl.2004.12.009; 10.1016/j.bmcl.2008.12.056; 10.1016/j.bmcl.2011.12.069; 10.1016/j.ejmech.2019.111825; 10.1021/acs.jmedchem.0c02077; 10.1021/acs.jmedchem.3c00721; 10.1021/acsmedchemlett.4c00380; 10.1021/jm501003k,BZKPWHYZMXOIDC-UHFFFAOYSA-N__CHEMBL3729,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-085,METAP2 — Methionine aminopeptidase 2,WM-1119,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL4456585,QLXULUNLCRKWRD-UHFFFAOYSA-N,O=C(NNS(=O)(=O)c1ccccc1F)c1cc(F)cc(-c2ccccn2)c1,CHEMBL3922,METAP2,WM-1119,Kd_RECORD_PRESENT,CHEMBL4883187; CHEMBL4883188,CHEMBL4507321,10.6019/CHEMBL4507321,QLXULUNLCRKWRD-UHFFFAOYSA-N__CHEMBL3922,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-086,GART — Trifunctional purine biosynthetic protein adenosine-3,研究化合物 CHEMBL5653589（无通用名称）,True,仅研究编号，实物待落实,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL5653589,MWKSRKSEWLRPBL-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,CHEMBL3972,GART,CHEMBL5653589,Kd_RECORD_PRESENT,CHEMBL5651460,CHEMBL5649169,10.1002/cmdc.201800398,MWKSRKSEWLRPBL-UHFFFAOYSA-N__CHEMBL3972,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-087,PPARD — Peroxisome proliferator-activated receptor delta,GW 0742,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL38508,HWVNEWGKWRGSRK-UHFFFAOYSA-N,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)c(F)c3)nc2C)ccc1OCC(=O)O,CHEMBL3979,PPARD,CHEMBL38508,Kd_RECORD_PRESENT,CHEMBL2341921; CHEMBL759401,CHEMBL1136424; CHEMBL2331183,10.1016/s0960-894x(03)00207-5; 10.1021/jm3013272,HWVNEWGKWRGSRK-UHFFFAOYSA-N__CHEMBL3979,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-088,F7 — Coagulation factor VII,研究化合物 CHEMBL3127491（无通用名称）,True,仅研究编号，实物待落实,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,CHEMBL3127491,PDUMJXCNOKHQKH-SVXHESJVSA-N,CC(C)CC(=O)Nc1cc(-c2ccc(C(N)=O)cc2C(=O)O)cc([C@@H]2C[C@](C)(c3ccccc3)c3cc(C(=N)N)ccc3N2)c1,CHEMBL3991,F7,CHEMBL3127491,Ki_NO_Kd_RECORD,CHEMBL3129741; CHEMBL3377178,CHEMBL3124891; CHEMBL3351269,10.1021/jm401670x; 10.1021/jm5010607,PDUMJXCNOKHQKH-SVXHESJVSA-N__CHEMBL3991,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-089,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",WORTMANNIN,True,通用名称已收录,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL428496,QDLHCMPXEPAAMD-QAIWCSMKSA-N,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,CHEMBL4005,PIK3CA,WORTMANNIN,Kd_RECORD_PRESENT,CHEMBL1646725; CHEMBL4269915; CHEMBL5657142; CHEMBL829681; CHEMBL871583,CHEMBL1138050; CHEMBL1141182; CHEMBL1641442; CHEMBL4266033; CHEMBL5653618,10.1016/j.bmcl.2010.11.087; 10.1021/acs.jmedchem.8b00975; 10.1021/jm049526a; 10.1021/jm0601598; 10.1021/ml900028r,QDLHCMPXEPAAMD-QAIWCSMKSA-N__CHEMBL4005,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-090,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,ATORVASTATIN,True,通用名称已收录,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,CHEMBL1487,XUKUURHRXDUEBC-KAYWLYCHSA-N,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,CHEMBL402,HMGCR,ATORVASTATIN,Ki_NO_Kd_RECORD,CHEMBL2351479; CHEMBL4322147; CHEMBL832902,CHEMBL1144315; CHEMBL2346500; CHEMBL4321790,10.1016/j.bmcl.2004.12.042; 10.1021/acs.jmedchem.8b01732; 10.1021/jm400179b,XUKUURHRXDUEBC-KAYWLYCHSA-N__CHEMBL402,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-091,MMP7 — Matrilysin,PRINOMASTAT,True,通用名称已收录,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,CHEMBL75094,YKPYIPVDTNNYCN-INIZCTEOSA-N,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,CHEMBL4073,MMP7,PRINOMASTAT,Ki_NO_Kd_RECORD,CHEMBL710482; CHEMBL829407,CHEMBL1132690; CHEMBL1141995,10.1016/j.bmcl.2005.01.024; 10.1021/jm990330y,YKPYIPVDTNNYCN-INIZCTEOSA-N__CHEMBL4073,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-092,FGFR2 — Fibroblast growth factor receptor 2,FEXAGRATINIB,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL3348846,VRQMAABPASPXMW-HDICACEKSA-N,COc1cc(CCc2cc(NC(=O)c3ccc(N4C[C@@H](C)N[C@@H](C)C4)cc3)n[nH]2)cc(OC)c1,CHEMBL4142,FGFR2,FEXAGRATINIB,Kd_RECORD_PRESENT,CHEMBL3404249; CHEMBL3803146; CHEMBL3803148; CHEMBL3804529; CHEMBL4018626; CHEMBL4018686; CHEMBL4018695; CHEMBL4056996; CHEMBL4426417; CHEMBL4426439; CHEMBL5033054; CHEMBL5225033,CHEMBL3399963; CHEMBL3797059; CHEMBL4017490; CHEMBL4052742; CHEMBL4425121; CHEMBL5032504; CHEMBL5223126,10.1016/j.bmcl.2015.02.010; 10.1016/j.bmcl.2016.04.028; 10.1016/j.bmcl.2017.06.068; 10.1016/j.bmcl.2022.128982; 10.1021/acs.jmedchem.1c00174; 10.1021/acs.jmedchem.7b00076; 10.1021/acsmedchemlett.6b00066,VRQMAABPASPXMW-HDICACEKSA-N__CHEMBL4142,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-093,MAPK9 — Mitogen-activated protein kinase 9,TANZISERTIB,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL1950289,IBGLGMOPHJQDJB-IHRRRGAJSA-N,O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1,CHEMBL4179,MAPK9,TANZISERTIB,Kd_RECORD_PRESENT,CHEMBL3991777; CHEMBL4842274; CHEMBL5446100,CHEMBL3991601; CHEMBL4840378; CHEMBL5446079,10.1021/acs.jmedchem.1c01716; 10.1126/science.aan4368; 10.6019/CHEMBL5446079,IBGLGMOPHJQDJB-IHRRRGAJSA-N__CHEMBL4179,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-094,ESRRG — Estrogen-related receptor gamma,BISPHENOL A,True,通用名称已收录,Kd,有Kd记录，待确认构建与SPR实测活性,CHEMBL418971,IISBACLAFKSPIT-UHFFFAOYSA-N,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CHEMBL4245,ESRRG,BISPHENOL A,Kd_RECORD_PRESENT,CHEMBL3227575,CHEMBL3217638,10.1039/C3MD00005B,IISBACLAFKSPIT-UHFFFAOYSA-N__CHEMBL4245,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-095,ALK — ALK tyrosine kinase receptor,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL4247,ALK,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1050837; CHEMBL3108330; CHEMBL3807904; CHEMBL3820469; CHEMBL4026782; CHEMBL4026783; CHEMBL4026798; CHEMBL4026799; CHEMBL4026800; CHEMBL4026802; CHEMBL4720834; CHEMBL5720620,CHEMBL1150977; CHEMBL3102702; CHEMBL3804794; CHEMBL3817824; CHEMBL4024756; CHEMBL4715818; CHEMBL5715954,10.1016/j.bmc.2016.05.057; 10.1016/j.bmc.2018.02.022; 10.1016/j.ejmech.2016.03.074; 10.1021/acs.jmedchem.7b01039; 10.1021/np4005745; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL4247,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-096,AKT1 — RAC-alpha serine/threonine-protein kinase,IPATASERTIB,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL2177390,GRZXWCHAXNAUHY-NSISKUIASA-N,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1,CHEMBL4282,AKT1,IPATASERTIB,Kd_RECORD_PRESENT,CHEMBL2187635; CHEMBL2188026; CHEMBL4830024; CHEMBL5055382; CHEMBL5168685; CHEMBL5711926,CHEMBL2177010; CHEMBL4828735; CHEMBL5053555; CHEMBL5154942; CHEMBL5705908,10.1021/acs.jmedchem.1c00815; 10.1021/acs.jmedchem.1c01476; 10.1021/acs.jmedchem.2c00527; 10.1021/jm301024w; 10.1039/c8sc05212c,GRZXWCHAXNAUHY-NSISKUIASA-N__CHEMBL4282,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-097,MMP12 — Macrophage metalloelastase,研究化合物 CHEMBL2385479（无通用名称）,True,仅研究编号，实物待落实,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL2385479,QTUCHEGSWFEUBW-UHFFFAOYSA-N,O=C(CNS(=O)(=O)c1ccccc1)NO,CHEMBL4393,MMP12,CHEMBL2385479,Kd_RECORD_PRESENT,CHEMBL2388547; CHEMBL3784260,CHEMBL2384938; CHEMBL3779821,10.1021/ml300446a; 10.1039/C5MD00542F,QTUCHEGSWFEUBW-UHFFFAOYSA-N__CHEMBL4393,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-098,"PDE10A — cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",研究化合物 CHEMBL248380（无通用名称）,True,仅研究编号，实物待落实,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL248380,SXFYSRMCZRZBKE-MRXNPFEDSA-N,CCOc1ccccc1-c1ccc(-c2nc3ccc(F)cc3c(N[C@H](C)C(=O)O)c2C#N)cc1,CHEMBL4409,PDE10A,CHEMBL248380,Kd_RECORD_PRESENT,CHEMBL1960211; CHEMBL2341884; CHEMBL886046,CHEMBL1139915; CHEMBL1955808; CHEMBL2331199,10.1016/j.bmcl.2007.02.061; 10.1016/j.bmcl.2012.01.046; 10.1021/jm301665y,SXFYSRMCZRZBKE-MRXNPFEDSA-N__CHEMBL4409,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-099,"NOS2 — Nitric oxide synthase, inducible",1400W,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL107251,RODUKNYOEVZQPR-UHFFFAOYSA-N,CC(=N)NCc1cccc(CN)c1,CHEMBL4481,NOS2,1400W,Kd_RECORD_PRESENT,CHEMBL4621974; CHEMBL5046506; CHEMBL5321738; CHEMBL5360743; CHEMBL6093113; CHEMBL944278,CHEMBL1140900; CHEMBL4619797; CHEMBL5046219; CHEMBL5321206; CHEMBL5360519; CHEMBL6092159,10.1016/j.bmc.2022.116970; 10.1016/j.ejmech.2023.115112; 10.1016/j.ejmech.2024.116907; 10.1021/acs.jmedchem.1c00578; 10.1021/acsmedchemlett.0c00285; 10.1021/jm800846u,RODUKNYOEVZQPR-UHFFFAOYSA-N__CHEMBL4481,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-100,CYP46A1 — Cholesterol 24-hydroxylase,VORICONAZOLE,True,通用名称已收录,"Kd,IC50,Ki",有Kd记录，待确认构建与SPR实测活性,CHEMBL638,BCEHBSKCWLPMDN-MGPLVRAMSA-N,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,CHEMBL4523510,CYP46A1,VORICONAZOLE,Kd_RECORD_PRESENT,CHEMBL4417816; CHEMBL4417825; CHEMBL4417826,CHEMBL4417626,,BCEHBSKCWLPMDN-MGPLVRAMSA-N__CHEMBL4523510,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-101,MMP8 — Neutrophil collagenase,CIPEMASTAT,True,通用名称已收录,Ki,仅Ki记录，需先确认SPR结合适用性,CHEMBL115653,GFUITADOEPNRML-SJORKVTESA-N,CN1C(=O)N(C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)N2CCCCC2)C(=O)C1(C)C,CHEMBL4588,MMP8,CIPEMASTAT,Ki_NO_Kd_RECORD,CHEMBL717815,CHEMBL1133572,10.1021/jm990412m,GFUITADOEPNRML-SJORKVTESA-N__CHEMBL4588,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-102,ECE1 — Endothelin-converting enzyme 1,研究化合物 CHEMBL571153（无通用名称）,True,仅研究编号，实物待落实,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,CHEMBL571153,WWTBZEKOSBFBEM-SPWPXUSOSA-N,O=C(N[C@@H](Cc1ccccc1)P(=O)(O)CC(Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)OCc1ccccc1,CHEMBL4791,ECE1,CHEMBL571153,Ki_NO_Kd_RECORD,CHEMBL1045249,CHEMBL1156752,10.1021/jm9010803,WWTBZEKOSBFBEM-SPWPXUSOSA-N__CHEMBL4791,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-103,AKT3 — RAC-gamma serine/threonine-protein kinase,STAUROSPORINE,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL4816,AKT3,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1051280; CHEMBL4328302; CHEMBL4720835; CHEMBL5720619; CHEMBL868609; CHEMBL869530,CHEMBL1146058; CHEMBL1146851; CHEMBL1150977; CHEMBL4325871; CHEMBL4715818; CHEMBL5715954,10.1016/j.bmc.2018.02.022; 10.1016/j.bmcl.2005.12.017; 10.1016/j.bmcl.2006.05.092; 10.1016/j.ejmech.2018.10.052; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL4816,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-104,AXL — Tyrosine-protein kinase receptor UFO,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL4895,AXL,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1060237; CHEMBL3108327; CHEMBL3820472; CHEMBL4326591; CHEMBL4720828; CHEMBL5654407; CHEMBL5720626,CHEMBL1150977; CHEMBL3102702; CHEMBL3817824; CHEMBL4325842; CHEMBL4715818; CHEMBL5653609; CHEMBL5715954,10.1016/j.bmc.2016.05.057; 10.1016/j.bmc.2018.02.022; 10.1016/j.bmcl.2018.10.013; 10.1021/np4005745; 10.1038/nbt1358; 10.1074/jbc.m112.357384; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL4895,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-105,NTRK2 — BDNF/NT-3 growth factors receptor,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL4898,NTRK2,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1062875; CHEMBL3225462; CHEMBL3225463; CHEMBL4328638; CHEMBL4720522; CHEMBL5720932,CHEMBL1150977; CHEMBL3217685; CHEMBL4325871; CHEMBL4715818; CHEMBL5715954,10.1016/j.bmc.2018.02.022; 10.1016/j.ejmech.2018.10.052; 10.1038/nbt1358; 10.1039/C2MD00271J; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL4898,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-106,CYP26A1 — Cytochrome P450 26A1,TALAROZOLE,True,通用名称已收录,IC50,仅功能/其他活性记录，SPR对照尚未落实,CHEMBL459505,SNFYYXUGUBUECJ-UHFFFAOYSA-N,CCC(CC)C(c1ccc(Nc2nc3ccccc3s2)cc1)n1cncn1,CHEMBL5141,CYP26A1,TALAROZOLE,FUNCTIONAL_OR_OTHER_ONLY,CHEMBL3789264,CHEMBL3784928,10.1021/acs.jmedchem.5b01780,SNFYYXUGUBUECJ-UHFFFAOYSA-N__CHEMBL5141,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-107,BRAF — Serine/threonine-protein kinase B-raf,SB590885,True,通用名称已收录,"Kd,IC50,Ki",有Kd记录，待确认构建与SPR实测活性,CHEMBL477989,MLSAQOINCGAULQ-QFMPWRQOSA-N,CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1,CHEMBL5145,BRAF,SB590885,Kd_RECORD_PRESENT,CHEMBL1924976; CHEMBL2173449; CHEMBL4194734; CHEMBL5446120; CHEMBL5662547; CHEMBL869914,CHEMBL1147772; CHEMBL1921694; CHEMBL2169832; CHEMBL4190375; CHEMBL5446079; CHEMBL5661971,10.1016/j.bmcl.2005.09.072; 10.1016/j.bmcl.2011.10.012; 10.1021/acs.jmedchem.7b01306; 10.1021/jm300613w; 10.1158/0008-5472.can-06-2554; 10.6019/CHEMBL5446079,MLSAQOINCGAULQ-QFMPWRQOSA-N__CHEMBL5145,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-108,UMPS — Uridine 5'-monophosphate synthase,研究化合物 CHEMBL5653589（无通用名称）,True,仅研究编号，实物待落实,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL5653589,MWKSRKSEWLRPBL-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,CHEMBL5216,UMPS,CHEMBL5653589,Kd_RECORD_PRESENT,CHEMBL5652773,CHEMBL5649169,10.1002/cmdc.201800398,MWKSRKSEWLRPBL-UHFFFAOYSA-N__CHEMBL5216,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-109,ACVRL1 — Activin receptor type-1-like,AT-9283,True,通用名称已收录,Kd,有Kd记录，待确认构建与SPR实测活性,CHEMBL495727,LOLPPWBBNUVNQZ-UHFFFAOYSA-N,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,CHEMBL5311,ACVRL1,AT-9283,Kd_RECORD_PRESENT,CHEMBL3991616,CHEMBL3991601,10.1126/science.aan4368,LOLPPWBBNUVNQZ-UHFFFAOYSA-N__CHEMBL5311,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-110,PARP2 — Poly [ADP-ribose] polymerase 2,TALAZOPARIB,True,通用名称已收录,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL3137320,HWGQMRYQVZSGDQ-HZPDHXFCSA-N,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,CHEMBL5366,PARP2,TALAZOPARIB,Kd_RECORD_PRESENT,CHEMBL3767924; CHEMBL4481008; CHEMBL5127794; CHEMBL5152029; CHEMBL5152040; CHEMBL5165749; CHEMBL5373879; CHEMBL6086554,CHEMBL3763037; CHEMBL4480392; CHEMBL5126523; CHEMBL5150005; CHEMBL5154882; CHEMBL5370623; CHEMBL6083282,10.1016/j.ejmech.2019.01.024; 10.1016/j.ejmech.2022.114109; 10.1021/acs.jmedchem.1c01012; 10.1021/acs.jmedchem.2c00135; 10.1021/acs.jmedchem.3c01152; 10.1021/acs.jmedchem.4c02276; 10.1021/acs.jmedchem.5b01498,HWGQMRYQVZSGDQ-HZPDHXFCSA-N__CHEMBL5366,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-111,NTRK3 — NT-3 growth factor receptor,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL5608,NTRK3,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1041998; CHEMBL4328639; CHEMBL4720521; CHEMBL5720933,CHEMBL1150977; CHEMBL4325871; CHEMBL4715818; CHEMBL5715954,10.1016/j.bmc.2018.02.022; 10.1016/j.ejmech.2018.10.052; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL5608,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-112,EGLN3 — Prolyl hydroxylase EGLN3,研究化合物 CHEMBL3133890（无通用名称）,True,仅研究编号，实物待落实,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL3133890,NZNPMUUOXMZCBF-UHFFFAOYSA-N,O=C(O)CCn1nnc2ccccc21,CHEMBL5705,EGLN3,CHEMBL3133890,Kd_RECORD_PRESENT,CHEMBL3137110; CHEMBL3137112,CHEMBL3132802,10.1039/C3MD00117B,NZNPMUUOXMZCBF-UHFFFAOYSA-N__CHEMBL5705,每个靶点另计参考；不计入384候选；不是384次重复采购
